2015/04/21 22:15:11 2015-03-04, buy: 1209.000000, sell: 1224.000000
2015/04/21 22:15:11 2015-03-04, buy: 1210.000000, sell: 1225.000000
2015/04/21 22:15:11 2015-03-04, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-03-04, buy: 1210.000000, sell: 1225.000000
2015/04/21 22:15:11 2015-03-04, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-03-04, buy: 1212.000000, sell: 1227.000000
2015/04/21 22:15:11 2015-03-04, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-03-04, buy: 1210.000000, sell: 1225.000000
2015/04/21 22:15:11 2015-03-05, buy: 1207.000000, sell: 1222.000000
2015/04/21 22:15:11 2015-03-05, buy: 1208.000000, sell: 1223.000000
2015/04/21 22:15:11 2015-03-05, buy: 1210.000000, sell: 1225.000000
2015/04/21 22:15:11 2015-03-05, buy: 1209.000000, sell: 1224.000000
2015/04/21 22:15:11 2015-03-05, buy: 1210.000000, sell: 1225.000000
2015/04/21 22:15:11 2015-03-05, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-03-05, buy: 1210.000000, sell: 1225.000000
2015/04/21 22:15:11 2015-03-05, buy: 1209.000000, sell: 1224.000000
2015/04/21 22:15:11 2015-03-06, buy: 1205.000000, sell: 1220.000000
2015/04/21 22:15:11 2015-03-06, buy: 1206.000000, sell: 1221.000000
2015/04/21 22:15:11 2015-03-06, buy: 1207.000000, sell: 1222.000000
2015/04/21 22:15:11 2015-03-06, buy: 1206.000000, sell: 1221.000000
2015/04/21 22:15:11 2015-03-06, buy: 1205.000000, sell: 1220.000000
2015/04/21 22:15:11 2015-03-06, buy: 1204.000000, sell: 1219.000000
2015/04/21 22:15:11 2015-03-09, buy: 1181.000000, sell: 1195.000000
2015/04/21 22:15:11 2015-03-09, buy: 1180.000000, sell: 1194.000000
2015/04/21 22:15:11 2015-03-09, buy: 1181.000000, sell: 1195.000000
2015/04/21 22:15:11 2015-03-09, buy: 1180.000000, sell: 1194.000000
2015/04/21 22:15:11 2015-03-09, buy: 1181.000000, sell: 1195.000000
2015/04/21 22:15:11 2015-03-09, buy: 1180.000000, sell: 1194.000000
2015/04/21 22:15:11 2015-03-09, buy: 1181.000000, sell: 1195.000000
2015/04/21 22:15:11 2015-03-09, buy: 1179.000000, sell: 1193.000000
2015/04/21 22:15:11 2015-03-09, buy: 1180.000000, sell: 1194.000000
2015/04/21 22:15:11 2015-03-09, buy: 1181.000000, sell: 1195.000000
2015/04/21 22:15:11 2015-03-09, buy: 1182.000000, sell: 1196.000000
2015/04/21 22:15:11 2015-03-09, buy: 1183.000000, sell: 1197.000000
2015/04/21 22:15:11 2015-03-09, buy: 1182.000000, sell: 1196.000000
2015/04/21 22:15:11 2015-03-09, buy: 1183.000000, sell: 1197.000000
2015/04/21 22:15:11 2015-03-09, buy: 1182.000000, sell: 1196.000000
2015/04/21 22:15:11 2015-03-10, buy: 1173.000000, sell: 1187.000000
2015/04/21 22:15:11 2015-03-10, buy: 1175.000000, sell: 1189.000000
2015/04/21 22:15:11 2015-03-10, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-10, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-10, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-10, buy: 1176.000000, sell: 1190.000000
2015/04/21 22:15:11 2015-03-10, buy: 1175.000000, sell: 1189.000000
2015/04/21 22:15:11 2015-03-10, buy: 1174.000000, sell: 1188.000000
2015/04/21 22:15:11 2015-03-10, buy: 1172.000000, sell: 1186.000000
2015/04/21 22:15:11 2015-03-10, buy: 1173.000000, sell: 1187.000000
2015/04/21 22:15:11 2015-03-10, buy: 1172.000000, sell: 1186.000000
2015/04/21 22:15:11 2015-03-10, buy: 1171.000000, sell: 1185.000000
2015/04/21 22:15:11 2015-03-10, buy: 1170.000000, sell: 1184.000000
2015/04/21 22:15:11 2015-03-11, buy: 1173.000000, sell: 1187.000000
2015/04/21 22:15:11 2015-03-11, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-11, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-11, buy: 1176.000000, sell: 1190.000000
2015/04/21 22:15:11 2015-03-11, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-11, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-11, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-11, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-11, buy: 1176.000000, sell: 1190.000000
2015/04/21 22:15:11 2015-03-11, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-11, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-11, buy: 1179.000000, sell: 1193.000000
2015/04/21 22:15:11 2015-03-11, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-12, buy: 1170.000000, sell: 1184.000000
2015/04/21 22:15:11 2015-03-12, buy: 1169.000000, sell: 1183.000000
2015/04/21 22:15:11 2015-03-12, buy: 1171.000000, sell: 1185.000000
2015/04/21 22:15:11 2015-03-12, buy: 1170.000000, sell: 1184.000000
2015/04/21 22:15:11 2015-03-12, buy: 1169.000000, sell: 1183.000000
2015/04/21 22:15:11 2015-03-12, buy: 1168.000000, sell: 1182.000000
2015/04/21 22:15:11 2015-03-12, buy: 1169.000000, sell: 1183.000000
